# Every rb_*/ruby_* symbol a C extension can link against, from clang's AST
# of the vendored headers. Regenerate with `tools/zeo-dev cext api`.
#
# status=zeo     the runtime exports it
# status=stub    not written yet; stubs.rs raises NotImplementedError
# status=refused a DECISION, with the reason in the raise; see REFUSED in
#                tools/lib/zeo_dev/commands/cext.rb
# status=global  a VALUE symbol stubs.rs defines and cext::globals fills
symbol	kind	status	signature
rb_loaderror	fn	zeo	void (const char *, ...) __attribute__((noreturn))
rb_loaderror_with_path	fn	zeo	void (VALUE, const char *, ...) __attribute__((noreturn))
rb_locale_charmap	fn	zeo	VALUE (VALUE)
rb_locale_encindex	fn	zeo	int (void)
rb_locale_encoding	fn	zeo	rb_encoding *(void)
rb_locale_str_new	fn	zeo	VALUE (const char *, long)
rb_locale_str_new_cstr	fn	zeo	VALUE (const char *)
rb_mComparable	var	global	VALUE
rb_mEnumerable	var	global	VALUE
rb_mErrno	var	global	VALUE
rb_mFileTest	var	global	VALUE
rb_mGC	var	global	VALUE
rb_mKernel	var	global	VALUE
rb_mMath	var	global	VALUE
rb_mProcess	var	global	VALUE
rb_mWaitReadable	var	global	VALUE
rb_mWaitWritable	var	global	VALUE
rb_make_backtrace	fn	zeo	VALUE (void)
rb_make_exception	fn	zeo	VALUE (int, const VALUE *)
rb_mark_hash	fn	zeo	void (struct st_table *)
rb_mark_set	fn	zeo	void (struct st_table *)
rb_mark_tbl	fn	zeo	void (struct st_table *)
rb_mark_tbl_no_pin	fn	zeo	void (struct st_table *)
rb_marshal_define_compat	fn	refused	void (VALUE, VALUE, VALUE (*)(VALUE), VALUE (*)(VALUE, VALUE))
rb_marshal_dump	fn	zeo	VALUE (VALUE, VALUE)
rb_marshal_load	fn	zeo	VALUE (VALUE)
rb_match_busy	fn	zeo	void (VALUE)
rb_mem_clear	fn	zeo	void (VALUE *, long)
rb_memcicmp	fn	zeo	int (const void *, const void *, long)
rb_memerror	fn	zeo	void (void) __attribute__((noreturn))
rb_memhash	fn	zeo	st_index_t (const void *, long)
rb_memory_id	fn	zeo	VALUE (VALUE)
rb_memory_view_available_p	fn	stub	bool (VALUE)
rb_memory_view_exported_object_registry	var	global	VALUE
rb_memory_view_exported_object_registry_data_type	var	global	const rb_data_type_t
rb_memory_view_extract_item_members	fn	stub	VALUE (const void *, const rb_memory_view_item_component_t *, const size_t)
rb_memory_view_fill_contiguous_strides	fn	stub	void (const ssize_t, const ssize_t, const ssize_t *const, const bool, ssize_t *const)
rb_memory_view_get	fn	stub	bool (VALUE, rb_memory_view_t *, int)
rb_memory_view_get_item	fn	stub	VALUE (rb_memory_view_t *, const ssize_t *)
rb_memory_view_get_item_pointer	fn	stub	void *(rb_memory_view_t *, const ssize_t *)
rb_memory_view_init_as_byte_array	fn	stub	bool (rb_memory_view_t *, VALUE, void *, const ssize_t, const bool)
rb_memory_view_is_column_major_contiguous	fn	stub	bool (const rb_memory_view_t *)
rb_memory_view_is_row_major_contiguous	fn	stub	bool (const rb_memory_view_t *)
rb_memory_view_item_size_from_format	fn	stub	ssize_t (const char *, const char **)
rb_memory_view_parse_item_format	fn	stub	ssize_t (const char *, rb_memory_view_item_component_t **, size_t *, const char **)
rb_memory_view_prepare_item_desc	fn	stub	void (rb_memory_view_t *)
rb_memory_view_register	fn	stub	bool (VALUE, const rb_memory_view_entry_t *)
rb_memory_view_release	fn	stub	bool (rb_memory_view_t *)
rb_memsearch	fn	stub	long (const void *, long, const void *, long, rb_encoding *)
rb_method_basic_definition_p	fn	zeo	int (VALUE, ID)
rb_method_boundp	fn	zeo	int (VALUE, ID, int)
rb_method_call	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_method_call_kw	fn	zeo	VALUE (int, const VALUE *, VALUE, int)
rb_method_call_with_block	fn	zeo	VALUE (int, const VALUE *, VALUE, VALUE)
rb_method_call_with_block_kw	fn	zeo	VALUE (int, const VALUE *, VALUE, VALUE, int)
rb_mod_ancestors	fn	zeo	VALUE (VALUE)
rb_mod_class_variables	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_mod_const_at	fn	zeo	void *(VALUE, void *)
rb_mod_const_of	fn	zeo	void *(VALUE, void *)
rb_mod_constants	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_mod_include_p	fn	zeo	VALUE (VALUE, VALUE)
rb_mod_included_modules	fn	zeo	VALUE (VALUE)
rb_mod_init_copy	fn	zeo	VALUE (VALUE, VALUE)
rb_mod_method_arity	fn	zeo	int (VALUE, ID)
rb_mod_module_eval	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_mod_module_exec	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_mod_name	fn	zeo	VALUE (VALUE)
rb_mod_remove_const	fn	zeo	VALUE (VALUE, VALUE)
rb_mod_remove_cvar	fn	zeo	VALUE (VALUE, VALUE)
rb_mod_sys_fail	fn	zeo	void (VALUE, const char *) __attribute__((noreturn))
rb_mod_sys_fail_str	fn	zeo	void (VALUE, VALUE) __attribute__((noreturn))
rb_mod_syserr_fail	fn	zeo	void (VALUE, int, const char *) __attribute__((noreturn))
rb_mod_syserr_fail_str	fn	zeo	void (VALUE, int, VALUE) __attribute__((noreturn))
rb_module_new	fn	zeo	VALUE (void)
rb_must_asciicompat	fn	zeo	void (VALUE)
rb_mutex_lock	fn	zeo	VALUE (VALUE)
rb_mutex_locked_p	fn	zeo	VALUE (VALUE)
rb_mutex_new	fn	zeo	VALUE (void)
rb_mutex_sleep	fn	zeo	VALUE (VALUE, VALUE)
rb_mutex_synchronize	fn	zeo	VALUE (VALUE, VALUE (*)(VALUE), VALUE)
rb_mutex_trylock	fn	zeo	VALUE (VALUE)
rb_mutex_unlock	fn	zeo	VALUE (VALUE)
rb_name_error	fn	zeo	void (ID, const char *, ...) __attribute__((noreturn))
rb_name_error_str	fn	zeo	void (VALUE, const char *, ...) __attribute__((noreturn))
rb_native_cond_broadcast	fn	stub	void (rb_nativethread_cond_t *)
rb_native_cond_destroy	fn	stub	void (rb_nativethread_cond_t *)
rb_native_cond_initialize	fn	stub	void (rb_nativethread_cond_t *)
rb_native_cond_signal	fn	stub	void (rb_nativethread_cond_t *)
rb_native_cond_timedwait	fn	stub	void (rb_nativethread_cond_t *, rb_nativethread_lock_t *, unsigned long)
rb_native_cond_wait	fn	stub	void (rb_nativethread_cond_t *, rb_nativethread_lock_t *)
rb_native_mutex_destroy	fn	stub	void (rb_nativethread_lock_t *)
rb_native_mutex_initialize	fn	stub	void (rb_nativethread_lock_t *)
rb_native_mutex_lock	fn	stub	void (rb_nativethread_lock_t *)
rb_native_mutex_trylock	fn	stub	int (rb_nativethread_lock_t *)
rb_native_mutex_unlock	fn	stub	void (rb_nativethread_lock_t *)
rb_nativethread_lock_destroy	fn	stub	void (rb_nativethread_lock_t *)
rb_nativethread_lock_initialize	fn	stub	void (rb_nativethread_lock_t *)
rb_nativethread_lock_lock	fn	stub	void (rb_nativethread_lock_t *)
rb_nativethread_lock_unlock	fn	stub	void (rb_nativethread_lock_t *)
rb_nativethread_self	fn	stub	rb_nativethread_id_t (void)
rb_need_block	fn	zeo	void (void)
rb_nogvl	fn	stub	void *(void *(*)(void *), void *, rb_unblock_function_t *, void *, int)
rb_notimplement	fn	zeo	void (void) __attribute__((noreturn))
rb_num2dbl	fn	zeo	double (VALUE)
rb_num2fix	fn	zeo	VALUE (VALUE)
rb_num2int	fn	zeo	long (VALUE)
rb_num2ll	fn	zeo	long long (VALUE)
rb_num2long	fn	zeo	long (VALUE)
rb_num2short	fn	zeo	short (VALUE)
rb_num2uint	fn	zeo	unsigned long (VALUE)
rb_num2ull	fn	zeo	unsigned long long (VALUE)
rb_num2ulong	fn	zeo	unsigned long (VALUE)
rb_num2ushort	fn	zeo	unsigned short (VALUE)
rb_num_coerce_bin	fn	zeo	VALUE (VALUE, VALUE, ID)
rb_num_coerce_bit	fn	zeo	VALUE (VALUE, VALUE, ID)
rb_num_coerce_cmp	fn	zeo	VALUE (VALUE, VALUE, ID)
rb_num_coerce_relop	fn	zeo	VALUE (VALUE, VALUE, ID)
rb_num_zerodiv	fn	zeo	void (void) __attribute__((noreturn))
rb_obj_alloc	fn	zeo	VALUE (VALUE)
rb_obj_as_string	fn	zeo	VALUE (VALUE)
rb_obj_call_init	fn	zeo	void (VALUE, int, const VALUE *)
rb_obj_call_init_kw	fn	zeo	void (VALUE, int, const VALUE *, int)
rb_obj_class	fn	zeo	VALUE (VALUE)
rb_obj_classname	fn	zeo	const char *(VALUE)
rb_obj_clone	fn	zeo	VALUE (VALUE)
rb_obj_dup	fn	zeo	VALUE (VALUE)
rb_obj_encoding	fn	zeo	VALUE (VALUE)
rb_obj_freeze	fn	zeo	VALUE (VALUE)
rb_obj_freeze_inline	fn	zeo	void (VALUE)
rb_obj_frozen_p	fn	zeo	VALUE (VALUE)
rb_obj_hide	fn	zeo	VALUE (VALUE)
rb_obj_id	fn	zeo	VALUE (VALUE)
rb_obj_init_copy	fn	zeo	VALUE (VALUE, VALUE)
rb_obj_instance_eval	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_obj_instance_exec	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_obj_instance_variables	fn	zeo	VALUE (VALUE)
rb_obj_is_fiber	fn	zeo	VALUE (VALUE)
rb_obj_is_instance_of	fn	zeo	VALUE (VALUE, VALUE)
rb_obj_is_kind_of	fn	zeo	VALUE (VALUE, VALUE)
rb_obj_is_method	fn	zeo	VALUE (VALUE)
rb_obj_is_proc	fn	zeo	VALUE (VALUE)
rb_obj_method	fn	zeo	VALUE (VALUE, VALUE)
rb_obj_method_arity	fn	zeo	int (VALUE, ID)
rb_obj_remove_instance_variable	fn	zeo	VALUE (VALUE, VALUE)
rb_obj_respond_to	fn	zeo	int (VALUE, ID, int)
rb_obj_reveal	fn	zeo	VALUE (VALUE, VALUE)
rb_obj_set_shareable	fn	stub	VALUE (VALUE)
rb_obj_setup	fn	zeo	VALUE (VALUE, VALUE, VALUE)
rb_obj_singleton_methods	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_out_of_int	fn	zeo	void (long) __attribute__((noreturn))
rb_output_fs	var	global	VALUE
rb_output_rs	var	global	VALUE
rb_p	fn	zeo	void (VALUE)
rb_path2class	fn	zeo	VALUE (const char *)
rb_path_to_class	fn	zeo	VALUE (VALUE)
rb_pipe	fn	zeo	int (int *)
rb_postponed_job_preregister	fn	stub	rb_postponed_job_handle_t (unsigned int, rb_postponed_job_func_t, void *)
rb_postponed_job_register	fn	stub	int (unsigned int, rb_postponed_job_func_t, void *)
rb_postponed_job_register_one	fn	stub	int (unsigned int, rb_postponed_job_func_t, void *)
rb_postponed_job_trigger	fn	stub	void (rb_postponed_job_handle_t)
rb_prepend_module	fn	zeo	void (VALUE, VALUE)
rb_proc_arity	fn	zeo	int (VALUE)
rb_proc_call	fn	zeo	VALUE (VALUE, VALUE)
rb_proc_call_kw	fn	zeo	VALUE (VALUE, VALUE, int)
rb_proc_call_with_block	fn	zeo	VALUE (VALUE, int, const VALUE *, VALUE)
rb_proc_call_with_block_kw	fn	zeo	VALUE (VALUE, int, const VALUE *, VALUE, int)
rb_proc_exec	fn	zeo	int (const char *)
rb_proc_lambda_p	fn	zeo	VALUE (VALUE)
rb_proc_new	fn	zeo	VALUE (rb_block_call_func_t, VALUE)
rb_proc_times	fn	zeo	VALUE (VALUE)
rb_process_status_wait	fn	zeo	VALUE (rb_pid_t, int)
rb_profile_frame_absolute_path	fn	stub	VALUE (VALUE)
rb_profile_frame_base_label	fn	stub	VALUE (VALUE)
rb_profile_frame_classpath	fn	stub	VALUE (VALUE)
rb_profile_frame_first_lineno	fn	stub	VALUE (VALUE)
rb_profile_frame_full_label	fn	stub	VALUE (VALUE)
rb_profile_frame_label	fn	stub	VALUE (VALUE)
rb_profile_frame_method_name	fn	stub	VALUE (VALUE)
rb_profile_frame_path	fn	stub	VALUE (VALUE)
rb_profile_frame_qualified_method_name	fn	stub	VALUE (VALUE)
rb_profile_frame_singleton_method_p	fn	stub	VALUE (VALUE)
rb_profile_frames	fn	stub	int (int, int, VALUE *, int *)
rb_profile_thread_frames	fn	stub	int (VALUE, int, int, VALUE *, int *)
rb_protect	fn	zeo	VALUE (VALUE (*)(VALUE), VALUE, int *)
rb_provide	fn	zeo	void (const char *)
rb_provided	fn	zeo	int (const char *)
rb_ractor_local_storage_ptr	fn	stub	void *(rb_ractor_local_key_t)
rb_ractor_local_storage_ptr_newkey	fn	stub	rb_ractor_local_key_t (const struct rb_ractor_local_storage_type *)
rb_ractor_local_storage_ptr_set	fn	stub	void (rb_ractor_local_key_t, void *)
rb_ractor_local_storage_type_free	var	global	const struct rb_ractor_local_storage_type
rb_ractor_local_storage_value	fn	stub	VALUE (rb_ractor_local_key_t)
rb_ractor_local_storage_value_lookup	fn	stub	bool (rb_ractor_local_key_t, VALUE *)
rb_ractor_local_storage_value_newkey	fn	stub	rb_ractor_local_key_t (void)
rb_ractor_local_storage_value_set	fn	stub	void (rb_ractor_local_key_t, VALUE)
rb_ractor_make_shareable	fn	stub	VALUE (VALUE)
rb_ractor_make_shareable_copy	fn	stub	VALUE (VALUE)
rb_ractor_stderr	fn	stub	VALUE (void)
rb_ractor_stderr_set	fn	stub	void (VALUE)
rb_ractor_stdin	fn	stub	VALUE (void)
rb_ractor_stdin_set	fn	stub	void (VALUE)
rb_ractor_stdout	fn	stub	VALUE (void)
rb_ractor_stdout_set	fn	stub	void (VALUE)
rb_raise	fn	zeo	void (VALUE, const char *, ...) __attribute__((noreturn))
rb_rand_bytes_int32	fn	stub	void (rb_random_get_int32_func *, rb_random_t *, void *, size_t)
rb_random_base_init	fn	stub	void (rb_random_t *)
rb_random_bytes	fn	zeo	VALUE (VALUE, long)
rb_random_int32	fn	zeo	unsigned int (VALUE)
rb_random_mark	fn	stub	void (void *)
rb_random_real	fn	zeo	double (VALUE)
rb_random_ulong_limited	fn	zeo	unsigned long (VALUE, unsigned long)
rb_range_beg_len	fn	zeo	VALUE (VALUE, long *, long *, long, int)
rb_range_new	fn	zeo	VALUE (VALUE, VALUE, int)
rb_range_values	fn	zeo	int (VALUE, VALUE *, VALUE *, int *)
rb_rational_den	fn	zeo	VALUE (VALUE)
rb_rational_new	fn	zeo	VALUE (VALUE, VALUE)
rb_rational_num	fn	zeo	VALUE (VALUE)
rb_rational_raw	fn	zeo	VALUE (VALUE, VALUE)
rb_readwrite_sys_fail	fn	zeo	void (enum rb_io_wait_readwrite, const char *) __attribute__((noreturn))
rb_readwrite_syserr_fail	fn	zeo	void (enum rb_io_wait_readwrite, int, const char *) __attribute__((noreturn))
rb_refinement_new	fn	zeo	VALUE (void)
rb_reg_adjust_startpos	fn	stub	long (VALUE, VALUE, long, int)
rb_reg_alloc	fn	zeo	VALUE (void)
rb_reg_backref_number	fn	zeo	int (VALUE, VALUE)
rb_reg_init_str	fn	zeo	VALUE (VALUE, VALUE, int)
rb_reg_last_match	fn	zeo	VALUE (VALUE)
rb_reg_match	fn	zeo	VALUE (VALUE, VALUE)
rb_reg_match2	fn	zeo	VALUE (VALUE)
rb_reg_match_last	fn	zeo	VALUE (VALUE)
rb_reg_match_post	fn	zeo	VALUE (VALUE)
rb_reg_match_pre	fn	zeo	VALUE (VALUE)
rb_reg_new	fn	zeo	VALUE (const char *, long, int)
rb_reg_new_str	fn	zeo	VALUE (VALUE, int)
rb_reg_nth_defined	fn	zeo	VALUE (int, VALUE)
rb_reg_nth_match	fn	zeo	VALUE (int, VALUE)
rb_reg_onig_match	fn	stub	OnigPosition (VALUE, VALUE, OnigPosition (*)(regex_t *, VALUE, struct re_registers *, void *), void *, struct re_registers *)
rb_reg_options	fn	zeo	int (VALUE)
rb_reg_prepare_re	fn	stub	regex_t *(VALUE, VALUE)
rb_reg_quote	fn	stub	VALUE (VALUE)
rb_reg_regcomp	fn	stub	VALUE (VALUE)
rb_reg_region_copy	fn	stub	int (struct re_registers *, const struct re_registers *)
rb_reg_regsub	fn	stub	VALUE (VALUE, VALUE, struct re_registers *, VALUE)
rb_reg_search	fn	stub	long (VALUE, VALUE, long, int)
rb_remove_event_hook	fn	refused	int (rb_event_hook_func_t)
rb_remove_event_hook_with_data	fn	stub	int (rb_event_hook_func_t, VALUE)
rb_remove_method	fn	zeo	void (VALUE, const char *)
rb_remove_method_id	fn	zeo	void (VALUE, ID)
rb_require	fn	zeo	VALUE (const char *)
rb_require_string	fn	zeo	VALUE (VALUE)
rb_rescue	fn	zeo	VALUE (VALUE (*)(VALUE), VALUE, VALUE (*)(VALUE, VALUE), VALUE)
rb_rescue2	fn	zeo	VALUE (VALUE (*)(VALUE), VALUE, VALUE (*)(VALUE, VALUE), VALUE, ...)
rb_reserved_fd_p	fn	zeo	int (int)
rb_reset_random_seed	fn	zeo	void (void)
rb_respond_to	fn	zeo	int (VALUE, ID)
rb_rs	var	global	VALUE
rb_ruby_debug_ptr	fn	zeo	VALUE *(void)
rb_ruby_verbose_ptr	fn	zeo	VALUE *(void)
rb_scan_args	fn	zeo	int (int, const VALUE *, const char *, ...)
rb_scan_args_bad_format	fn	zeo	void (const char *)
rb_scan_args_kw	fn	zeo	int (int, int, const VALUE *, const char *, ...)
rb_scan_args_length_mismatch	fn	zeo	void (const char *, int)
rb_set_add	fn	zeo	bool (VALUE, VALUE)
rb_set_class_path	fn	zeo	void (VALUE, VALUE, const char *)
rb_set_class_path_string	fn	zeo	void (VALUE, VALUE, VALUE)
rb_set_clear	fn	zeo	VALUE (VALUE)
rb_set_delete	fn	zeo	bool (VALUE, VALUE)
rb_set_end_proc	fn	zeo	void (void (*)(VALUE), VALUE)
rb_set_errinfo	fn	zeo	void (VALUE)
rb_set_foreach	fn	zeo	void (VALUE, int (*)(VALUE, VALUE), VALUE)
rb_set_lookup	fn	zeo	bool (VALUE, VALUE)
rb_set_new	fn	zeo	VALUE (void)
rb_set_new_capa	fn	zeo	VALUE (size_t)
rb_set_size	fn	zeo	size_t (VALUE)
rb_singleton_class	fn	zeo	VALUE (VALUE)
rb_singleton_class_attached	fn	zeo	void (VALUE, VALUE)
rb_singleton_class_clone	fn	zeo	VALUE (VALUE)
rb_sourcefile	fn	zeo	const char *(void)
rb_sourceline	fn	zeo	int (void)
rb_spawn	fn	zeo	rb_pid_t (int, const VALUE *)
rb_spawn_err	fn	zeo	rb_pid_t (int, const VALUE *, char *, size_t)
rb_sprintf	fn	zeo	VALUE (const char *, ...)
rb_st_add_direct	fn	zeo	void (st_table *, st_data_t, st_data_t)
rb_st_cleanup_safe	fn	zeo	void (st_table *, st_data_t)
rb_st_clear	fn	zeo	void (st_table *)
rb_st_copy	fn	zeo	st_table *(st_table *)
rb_st_delete	fn	zeo	int (st_table *, st_data_t *, st_data_t *)
rb_st_delete_safe	fn	zeo	int (st_table *, st_data_t *, st_data_t *, st_data_t)
rb_st_foreach	fn	zeo	int (st_table *, st_foreach_callback_func *, st_data_t)
rb_st_foreach_check	fn	zeo	int (st_table *, st_foreach_check_callback_func *, st_data_t, st_data_t)
rb_st_foreach_safe	fn	zeo	void (struct st_table *, st_foreach_callback_func *, st_data_t)
rb_st_foreach_with_replace	fn	zeo	int (st_table *, st_foreach_check_callback_func *, st_update_callback_func *, st_data_t)
rb_st_free_table	fn	zeo	void (st_table *)
rb_st_get_key	fn	zeo	int (st_table *, st_data_t, st_data_t *)
rb_st_hash	fn	zeo	st_index_t (const void *, size_t, st_index_t)
rb_st_hash_end	fn	zeo	st_index_t (st_index_t)
rb_st_hash_start	fn	zeo	st_index_t (st_index_t)
rb_st_hash_uint	fn	zeo	st_index_t (st_index_t, st_index_t)
rb_st_hash_uint32	fn	zeo	st_index_t (st_index_t, uint32_t)
rb_st_init_numtable	fn	zeo	st_table *(void)
rb_st_init_numtable_with_size	fn	zeo	st_table *(st_index_t)
rb_st_init_strcasetable	fn	zeo	st_table *(void)
rb_st_init_strcasetable_with_size	fn	zeo	st_table *(st_index_t)
rb_st_init_strtable	fn	zeo	st_table *(void)
rb_st_init_strtable_with_size	fn	zeo	st_table *(st_index_t)
rb_st_init_table	fn	zeo	st_table *(const struct st_hash_type *)
rb_st_init_table_with_size	fn	zeo	st_table *(const struct st_hash_type *, st_index_t)
rb_st_insert	fn	zeo	int (st_table *, st_data_t, st_data_t)
rb_st_insert2	fn	zeo	int (st_table *, st_data_t, st_data_t, st_data_t (*)(st_data_t))
rb_st_keys	fn	zeo	st_index_t (st_table *, st_data_t *, st_index_t)
rb_st_keys_check	fn	zeo	st_index_t (st_table *, st_data_t *, st_index_t, st_data_t)
rb_st_locale_insensitive_strcasecmp	fn	zeo	int (const char *, const char *)
rb_st_locale_insensitive_strncasecmp	fn	zeo	int (const char *, const char *, size_t)
rb_st_lookup	fn	zeo	int (st_table *, st_data_t, st_data_t *)
rb_st_memsize	fn	zeo	size_t (const st_table *)
rb_st_numcmp	fn	zeo	int (st_data_t, st_data_t)
rb_st_numhash	fn	zeo	st_index_t (st_data_t)
rb_st_shift	fn	zeo	int (st_table *, st_data_t *, st_data_t *)
rb_st_table_size	fn	zeo	size_t (const struct st_table *)
rb_st_update	fn	zeo	int (st_table *, st_data_t, st_update_callback_func *, st_data_t)
rb_st_values	fn	zeo	st_index_t (st_table *, st_data_t *, st_index_t)
rb_st_values_check	fn	zeo	st_index_t (st_table *, st_data_t *, st_index_t, st_data_t)
rb_stat_new	fn	stub	VALUE (const struct stat *)
rb_stderr	var	global	VALUE
rb_stdin	var	global	VALUE
rb_stdout	var	global	VALUE
rb_str2inum	fn	zeo	VALUE (VALUE, int)
rb_str_append	fn	zeo	VALUE (VALUE, VALUE)
rb_str_buf_append	fn	zeo	VALUE (VALUE, VALUE)
rb_str_buf_cat	fn	zeo	VALUE (VALUE, const char *, long)
rb_str_buf_cat2	fn	zeo	VALUE (VALUE, const char *)
rb_str_buf_cat_ascii	fn	zeo	VALUE (VALUE, const char *)
rb_str_buf_new	fn	zeo	VALUE (long)
rb_str_buf_new_cstr	fn	zeo	VALUE (const char *)
rb_str_capacity	fn	zeo	size_t (VALUE)
rb_str_cat	fn	zeo	VALUE (VALUE, const char *, long)
rb_str_cat2	fn	zeo	VALUE (VALUE, const char *)
rb_str_cat_cstr	fn	zeo	VALUE (VALUE, const char *)
rb_str_catf	fn	zeo	VALUE (VALUE, const char *, ...)
rb_str_cmp	fn	zeo	int (VALUE, VALUE)
rb_str_coderange_scan_restartable	fn	zeo	long (const char *, const char *, rb_encoding *, int *)
rb_str_comparable	fn	zeo	int (VALUE, VALUE)
rb_str_concat	fn	zeo	VALUE (VALUE, VALUE)
rb_str_conv_enc	fn	zeo	VALUE (VALUE, rb_encoding *, rb_encoding *)
rb_str_conv_enc_opts	fn	zeo	VALUE (VALUE, rb_encoding *, rb_encoding *, int, VALUE)
rb_str_drop_bytes	fn	zeo	VALUE (VALUE, long)
rb_str_dump	fn	zeo	VALUE (VALUE)
rb_str_dup	fn	zeo	VALUE (VALUE)
rb_str_dup_frozen	fn	zeo	VALUE (VALUE)
rb_str_ellipsize	fn	zeo	VALUE (VALUE, long)
rb_str_encode	fn	zeo	VALUE (VALUE, VALUE, int, VALUE)
rb_str_encode_ospath	fn	zeo	VALUE (VALUE)
rb_str_equal	fn	zeo	VALUE (VALUE, VALUE)
rb_str_export	fn	zeo	VALUE (VALUE)
rb_str_export_locale	fn	zeo	VALUE (VALUE)
rb_str_export_to_enc	fn	zeo	VALUE (VALUE, rb_encoding *)
rb_str_format	fn	zeo	VALUE (int, const VALUE *, VALUE)
rb_str_free	fn	zeo	void (VALUE)
rb_str_freeze	fn	zeo	VALUE (VALUE)
rb_str_hash	fn	zeo	st_index_t (VALUE)
rb_str_hash_cmp	fn	zeo	int (VALUE, VALUE)
rb_str_inspect	fn	zeo	VALUE (VALUE)
rb_str_intern	fn	zeo	VALUE (VALUE)
rb_str_length	fn	zeo	VALUE (VALUE)
rb_str_locktmp	fn	zeo	VALUE (VALUE)
rb_str_modify	fn	zeo	void (VALUE)
rb_str_modify_expand	fn	zeo	void (VALUE, long)
rb_str_new	fn	zeo	VALUE (const char *, long)
rb_str_new_cstr	fn	zeo	VALUE (const char *)
rb_str_new_frozen	fn	zeo	VALUE (VALUE)
rb_str_new_shared	fn	zeo	VALUE (VALUE)
rb_str_new_static	fn	zeo	VALUE (const char *, long)
rb_str_new_with_class	fn	zeo	VALUE (VALUE, const char *, long)
rb_str_offset	fn	zeo	long (VALUE, long)
rb_str_plus	fn	zeo	VALUE (VALUE, VALUE)
rb_str_replace	fn	zeo	VALUE (VALUE, VALUE)
rb_str_resize	fn	zeo	VALUE (VALUE, long)
rb_str_resurrect	fn	zeo	VALUE (VALUE)
rb_str_scrub	fn	zeo	VALUE (VALUE, VALUE)
rb_str_set_len	fn	zeo	void (VALUE, long)
rb_str_shared_replace	fn	zeo	void (VALUE, VALUE)
rb_str_split	fn	zeo	VALUE (VALUE, const char *)
rb_str_strlen	fn	zeo	long (VALUE)
rb_str_sublen	fn	zeo	long (VALUE, long)
rb_str_subpos	fn	zeo	char *(VALUE, long, long *)
rb_str_subseq	fn	zeo	VALUE (VALUE, long, long)
rb_str_substr	fn	zeo	VALUE (VALUE, long, long)
rb_str_succ	fn	zeo	VALUE (VALUE)
rb_str_times	fn	zeo	VALUE (VALUE, VALUE)
rb_str_tmp_new	fn	zeo	VALUE (long)
rb_str_to_dbl	fn	zeo	double (VALUE, int)
rb_str_to_interned_str	fn	zeo	VALUE (VALUE)
rb_str_to_inum	fn	zeo	VALUE (VALUE, int, int)
rb_str_to_str	fn	zeo	VALUE (VALUE)
rb_str_unlocktmp	fn	zeo	VALUE (VALUE)
rb_str_update	fn	zeo	void (VALUE, long, long, VALUE)
rb_str_vcatf	fn	zeo	VALUE (VALUE, const char *, va_list)
rb_string_value	fn	zeo	VALUE (volatile VALUE *)
rb_string_value_cstr	fn	zeo	char *(volatile VALUE *)
rb_string_value_ptr	fn	zeo	char *(volatile VALUE *)
rb_struct_alloc	fn	zeo	VALUE (VALUE, VALUE)
rb_struct_alloc_noinit	fn	zeo	VALUE (VALUE)
rb_struct_aref	fn	zeo	VALUE (VALUE, VALUE)
rb_struct_aset	fn	zeo	VALUE (VALUE, VALUE, VALUE)
rb_struct_define	fn	zeo	VALUE (const char *, ...)
rb_struct_define_under	fn	zeo	VALUE (VALUE, const char *, ...)
rb_struct_define_without_accessor	fn	zeo	VALUE (const char *, VALUE, rb_alloc_func_t, ...)
rb_struct_define_without_accessor_under	fn	zeo	VALUE (VALUE, const char *, VALUE, rb_alloc_func_t, ...)
rb_struct_getmember	fn	zeo	VALUE (VALUE, ID)
rb_struct_initialize	fn	zeo	VALUE (VALUE, VALUE)
rb_struct_members	fn	zeo	VALUE (VALUE)
rb_struct_new	fn	zeo	VALUE (VALUE, ...)
rb_struct_s_members	fn	zeo	VALUE (VALUE)
rb_struct_size	fn	zeo	VALUE (VALUE)
rb_sym2id	fn	zeo	ID (VALUE)
rb_sym2str	fn	zeo	VALUE (VALUE)
rb_sym_all_symbols	fn	zeo	VALUE (void)
rb_sym_to_s	fn	zeo	VALUE (VALUE)
rb_symname_p	fn	zeo	int (const char *)
rb_sys_fail	fn	zeo	void (const char *) __attribute__((noreturn))
rb_sys_fail_str	fn	zeo	void (VALUE) __attribute__((noreturn))
rb_sys_warning	fn	zeo	void (const char *, ...)
rb_syserr_fail	fn	zeo	void (int, const char *) __attribute__((noreturn))
rb_syserr_fail_str	fn	zeo	void (int, VALUE) __attribute__((noreturn))
rb_syserr_new	fn	zeo	VALUE (int, const char *)
rb_syserr_new_str	fn	zeo	VALUE (int, VALUE)
rb_syswait	fn	zeo	void (rb_pid_t)
rb_thread_add_event_hook	fn	stub	void (VALUE, rb_event_hook_func_t, rb_event_flag_t, VALUE)
